v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,label_binary,clean_text
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,,1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),,,,0,oh k watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,,0,eh u remember spell name yes v naughty make v wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,,0,fine way u feel way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,,1,england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq
ham,Is that seriously how you spell his name?,,,,0,seriously spell name
ham,IÛ÷m going to try for 2 months ha ha only joking,,,,0,going try months ha ha joking
ham,So Ì_ pay first lar... Then when is da stock comin...,,,,0,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,,0,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,,,,0,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,,0,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
ham,Lol your always so convincing.,,,,0,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,,0,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,,0,back amp packing car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,,0,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,,0,wait still clear sure sarcastic x want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,,0,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers
ham,K tell me anything about you.,,,,0,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,,0,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,,1,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,,0,yup ok go home look timings msg xuhui going learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",,,,0,oops let know roommate done
ham,I see the letter B on my car,,,,0,see letter b car
ham,Anything lor... U decide...,,,,0,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,,0,hello saturday go texting see decided anything tomo trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,,0,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,,1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,,,,0,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,,0,great hope like man well endowed lt gt inches
ham,No calls..messages..missed calls,,,,0,calls messages missed calls
ham,Didn't you get hep b immunisation in nigeria.,,,,0,get hep b immunisation nigeria
ham,"Fair enough, anything going on?",,,,0,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,,0,yeah hopefully tyler could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,,0,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,,,,0,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,,0,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,,0,k fyi x ride early tomorrow morning crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,,0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,,0,know mallika sherawat yesterday find lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,,1,congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
ham,"Sorry, I'll call later in meeting.",,,,0,sorry call later meeting
ham,Tell where you reached,,,,0,tell reached
ham,Yes..gauti and sehwag out of odi series.,,,,0,yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,,0,gon na pick burger way home even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,,,,0,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,,,,0,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",,,,0,sorry roommates took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,,1,valued customer pleased advise following recent review mob awarded bonus prize call
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,,0,today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,,1,urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,,1,hear new divorce barbie comes ken stuff
ham,I plane to give on this month end.,,,,0,plane give month end
ham,Wah lucky man... Then can save money... Hee...,,,,0,wah lucky man save money hee
ham,Finished class where are you.,,,,0,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,,0,hi babe im home wan na something xx
ham,K..k:)where are you?how did you performed?,,,,0,k k performed
ham,U can call me now...,,,,0,u call
ham,I am waiting machan. Call me once you free.,,,,0,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,,0,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,,,,0,like peoples much shy pa
ham,Does not operate after  &lt;#&gt;  or what,,,,0,operate lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,,0,still looking job much ta earn
ham,"Sorry, I'll call later",,,,0,sorry call later
ham,K. Did you call me just now ah? ,,,,0,k call ah
ham,Ok i am on the way to home hi hi,,,,0,ok way home hi hi
ham,You will be in the place of that man,,,,0,place man
ham,Yup next stop.,,,,0,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",,,,0,call later network urgnt sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,,0,real u getting yo need tickets one jacket done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,,0,yes started send requests make pain came back back bed double coins factory got ta cash nitros
ham,I'm really not up to it still tonight babe,,,,0,really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",,,,0,ela kano il download come wen ur free
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,,,,0,yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,,0,sorry pain ok meet another night spent late afternoon casualty means done stuff moro includes time sheets sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,,0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,,1,please call customer service representative pm guaranteed cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,,0,havent planning buy later check already lido got show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",,1,free ringtone waiting collected simply text password mix verify get usher britney fml
ham,Watching telugu movie..wat abt u?,,,,0,watching telugu movie wat abt u
ham,i see. When we finish we have loads of loans to pay,,,,0,see finish loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,,0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
ham,Please don't text me anymore. I have nothing else to say.,,,,0,please text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,,0,okay name ur price long legal wen pick u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,,0,still looking car buy gone driving test yet
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,,0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
ham,Umma my life and vava umma love you lot dear,,,,0,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,,0,thanks lot wishes birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",,,,0,aight hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,,,,0,would ip address test considering computer minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,,0,know grumpy old people mom like better lying always one play jokes
ham,Dont worry. I guess he's busy.,,,,0,dont worry guess busy
ham,What is the plural of the noun research?,,,,0,plural noun research
ham,Going for dinner.msg you after.,,,,0,going dinner msg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,,0,ok wif cos like try new things scared u dun like mah cos u said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,,1,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,,0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,,0,entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,,1,winner u specially selected receive holiday flights inc speak live operator claim p min
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,,0,goodo yes must speak friday egg potato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,,0,hmm uncle informed paying school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,,1,private account statement shows unredeemed bonus points claim call identifier code expires
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,,1,urgent mobile awarded bonus caller prize final try contact u call landline box wr c ppm
ham,here is my new address -apples&pairs&all that malarky,,,,0,new address apples pairs malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,,1,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
ham,I am going to sao mu today. Will be done only at 12 ,,,,0,going sao mu today done
ham,ÌÏ predict wat time Ì_'ll finish buying?,,,,0,predict wat time finish buying
ham,"Good stuff, will do.",,,,0,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,,0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
ham,Are you there in room.,,,,0,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
ham,K..k:)how much does it cost?,,,,0,k k much cost
ham,I'm home.,,,,0,home
ham,"Dear, will call Tmorrow.pls accomodate.",,,,0,dear call tmorrow pls accomodate
ham,First answer my question.,,,,0,first answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,,1,want get laid tonight want real dogging locations sent direct ur mob join uk largest dogging network bt txting gravel nt ec p msg p
ham,I only haf msn. It's yijue@hotmail.com,,,,0,haf msn yijue hotmail com
ham,He is there. You call and meet him,,,,0,call meet
ham,No no. I will check all rooms befor activities,,,,0,check rooms befor activities
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,,1,rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,,0,got c lazy type forgot lect saw pouch like v nice
ham,"K, text me when you're on the way",,,,0,k text way
ham,"Sir, Waiting for your mail.",,,,0,sir waiting mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,,0,swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni
ham,I know you are. Can you pls open the back?,,,,0,know pls open back
ham,Yes see ya not on the dot,,,,0,yes see ya dot
ham,Whats the staff name who is taking class for us?,,,,0,whats staff name taking class us
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,,1,freemsg replied text randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,,0,ummma call check life begin qatar pls pray hard
ham,K..i deleted my contact that why?,,,,0,k deleted contact
ham,Sindu got job in birla soft ..,,,,0,sindu got job birla soft
ham,The wine is flowing and i'm i have nevering..,,,,0,wine flowing nevering
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,,0,yup thk cine better cos need go plaza mah
ham,Ok... Ur typical reply...,,,,0,ok ur typical reply
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,,0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows see guess like things must exist like rain hail mist time done become one
ham,Aaooooright are you at work?,,,,0,aaooooright work
ham,I'm leaving my house now...,,,,0,leaving house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,,0,hello love get interview today happy good boy think missing
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,,1,customer service annoncement new years delivery waiting please call arrange delivery
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,,1,winner u specially selected receive cash holiday flights inc speak live operator claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,,0,keep safe need miss already envy everyone see real life
ham,New car and house for my parents.:)i have only new job in hand:),,,,0,new car house parents new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,,0,love excited day spend make happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,,1,pls stop bootydelious f inviting friend reply yes see www sms ac u bootydelious stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,,1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internet service menu
ham,I place all ur points on e cultures module already.,,,,0,place ur points e cultures module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,,1,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,,0,hi frnd best way avoid missunderstding wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,,0,great escape fancy bridge needs lager see tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,,,,0,yes completely form clark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",,,,0,sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,,0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
ham,What time you coming down later? ,,,,0,time coming later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,,0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,,0,well gon na finish bath good fine night
ham,Let me know when you've got the money so carlos can make the call,,,,0,let know got money carlos make call
ham,U still going to the mall?,,,,0,u still going mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,,0,turns friends staying whole show back til lt gt feel free go ahead smoke lt gt worth
ham,Text her. If she doesnt reply let me know so i can have her log in,,,,0,text doesnt reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,,0,hi spoke maneesha v like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,,0,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
ham,Lol no. U can trust me.,,,,0,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,,,,0,ok gentleman treat dignity respect
ham,"He will, you guys close?",,,,0,guys close
ham,Going on nothing great.bye,,,,0,going nothing great bye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,,0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
ham,"Haha awesome, be there in a minute",,,,0,haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,,1,please call customer service representative freephone pm guaranteed cash prize
ham,Have you got Xmas radio times. If not i will get it now,,,,0,got xmas radio times get
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,,0,jus reached home go bathe first sis using net tell u finishes k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,,1,unique enough find th august www areyouunique co uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,,0,sorry joined league people dont keep touch mean great deal friend times even great personal cost great week
ham,Hi :)finally i completed the course:),,,,0,hi finally completed course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,,0,stop however suggest stays someone able give ors every stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,,0,hope settled new school year wishin gr day
ham,Gud mrng dear hav a nice day,,,,0,gud mrng dear hav nice day
ham,Did u got that persons story,,,,0,u got persons story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,,0,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",,,,0,found enc lt gt
ham,I sent you  &lt;#&gt;  bucks,,,,0,sent lt gt bucks
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,,0,hello darlin ive finished college txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,,0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance rs lt decimal gt transaction id kr lt gt
ham,Goodmorning sleeping ga.,,,,0,goodmorning sleeping ga
ham,U call me alter at 11 ok.,,,,0,u call alter ok
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,,0,say like dat dun buy ericsson oso oredi lar
ham,"Aight yo, dats straight dogg",,,,0,aight yo dats straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,,0,please give us connection today lt decimal gt refund bill
ham,Both :) i shoot big loads so get ready!,,,,0,shoot big loads get ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,,0,bruv hope great break rewarding semester
ham,Home so we can always chat,,,,0,home always chat
ham,K:)k:)good:)study well.,,,,0,k k good study well
ham,Yup... How Ì_ noe leh...,,,,0,yup noe leh
ham,Sounds great! Are you home now?,,,,0,sounds great home
ham,Finally the match heading towards draw as your prediction.,,,,0,finally match heading towards draw prediction
ham,Tired. I haven't slept well the past few nights.,,,,0,tired slept well past nights
ham,Easy ah?sen got selected means its good..,,,,0,easy ah sen got selected means good
ham,I have to take exam with march 3,,,,0,take exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,,0,yeah think use gt atm register sure anyway help let know sure ready
ham,Ok no prob. Take ur time.,,,,0,ok prob take ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,,0,os called ubandu run without installing hard disk use os copy important files system give repair shop
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,,0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,,1,new mobiles must go txt nokia collect today www tc biz optout gbp mtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,,,,0,would really appreciate call need someone talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,,1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
ham,Hey company elama po mudyadhu.,,,,0,hey company elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,,0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
ham,Dear good morning now only i am up,,,,0,dear good morning
